"2019 Novel Coronavirus (COVID-19) in Washington Updated on March 18, 2020 at 3:25 p.m.","2019 Novel Coronavirus (COVID-19) in Washington Updated on March 18, 2020 at 3:25 p.m.","2019 Novel Coronavirus (COVID-19) in Washington Updated on March 18, 2020 at 3:25 p.m."
County,Positive/Confirmed Cases,Deaths
Chelan,2,0
Clark,4,3
Columbia,1,0
Franklin,1,0
Grant,8,1
Grays Harbor,1,0
Island,16,0
Jefferson,4,0
King,562,56
Kitsap,9,0
Kittitas,4,0
Klickitat,1,0
Lewis,1,0
Lincoln,1,0
Mason,1,0
Pierce,56,0
Skagit,14,0
Snohomish,310,6
Spokane,4,0
Thurston,6,0
Whatcom,7,0
Yakima,7,0
Unassigned,167,0
Total,1187,66
